Date,Team,Acquired,Relinquished,Notes
1995-01-17,Seahawks,&bull; Todd Peterson,,signed free agent
1995-01-19,Dolphins,,&bull; John Sandusky,retired as assistant head coach
1995-01-20,Packers,&bull; Bernardo Harris,,signed free agent
1995-01-20,Packers,&bull; Mike Bartrum,,signed free agent
1995-01-21,Jaguars,&bull; Larry Pasquale,,hired as special teams coordinator
1995-01-24,Cardinals,&bull; Mike Buck,,signed to a 1-year contract
1995-01-24,Colts,&bull; Marcus Pollard,,signed undrafted free agent
1995-01-24,Cowboys,&bull; Dave Campo,,promoted to defensive coordinator
1995-01-24,Cowboys,&bull; Mike Zimmer (a),,promoted to defensive backs coach
1995-01-24,Jets,&bull; Ken Rose,,hired as special teams coach
1995-01-24,Jets,&bull; Tom Gamble,,hired as defensive assistant coach
1995-01-24,Oilers,Les Steckel,,hired as wide receivers coach
1995-01-24,Panthers,&bull; Joe Pendry,,hired as offensive coordinator
1995-01-24,Panthers,&bull; Vic Fangio,,hired as defensive coordinator
1995-01-24,Saints,Larry Kennan,,hired as tight ends coach
1995-01-31,Broncos,&bull; Mike Shanahan (a),,"hired as head coach, signed to a 7-year contract"
1995-01-31,Saints,&bull; Jim Haslett,,hired as linebackers coach
1995-02-01,Chargers,,&bull; Bill Arnsparger,retired as defensive coordinator
1995-02-01,Chiefs,&bull; Mike McCarthy,,promoted to quarterbacks coach (date approximate)
1995-02-01,Cowboys,,&bull; John Davis (b) / Butch Davis,resigned as defensive coordinator (date approximate)
1995-02-01,Oilers,,&bull; Charlie Baggett,resigned as receivers coach (date approximate)
1995-02-02,Eagles,&bull; Ray Rhodes,,hired as head coach
1995-02-09,Bears,,&bull; Mark Bortz,retired
1995-02-09,Dolphins,&bull; Eddie Jones (a),,signed as executive VP and GM to a 2-year contract through 1996
1995-02-09,Dolphins,&bull; Wayne Huizenga,,assumed title of president
1995-02-09,Jets,&bull; Pat Kirwan,,hired as director of player administration
1995-02-13,Eagles,&bull; Bill Callahan,,hired as offensive line coach
1995-02-13,Eagles,&bull; Dick Jamieson,,hired as running backs coach
1995-02-13,Falcons,&bull; George Brewer,,signed
1995-02-13,Falcons,&bull; Jeff Pahukoa,,signed
1995-02-13,Falcons,&bull; Rod Rust,,hired as assistant defensive coach
1995-02-13,Giants,&bull; Mitch Davis,,signed
1995-02-13,Giants,&bull; Tyler Lawrence,,signed
1995-02-13,Raiders,,&bull; Lionel Washington,player granted unconditional free agency
1995-02-14,Cardinals,,&bull; Steve Beuerlein,lost in expansion draft (to Jaguars)
1995-02-14,Jaguars,&bull; Steve Beuerlein,,expansion draft pick (from Cardinals)
1995-02-15,Bears,,&bull; Bob Christian,lost in expansion draft (to Panthers)
1995-02-15,Broncos,,&bull; Cedric Tillman (b),lost in expansion draft (to Jaguars)
1995-02-15,Buccaneers,,&bull; Shawn Price,lost in expansion draft (to Panthers)
1995-02-15,Colts,,&bull; Dewell Brewer,lost in expansion draft (to Panthers)
1995-02-15,Eagles,,&bull; Brian O'Neal,lost in expansion draft (to Panthers)
1995-02-15,Falcons,,&bull; David Mims (a),lost in expansion draft (to Panthers)
1995-02-15,Giants,,&bull; Andre Powell,lost in expansion draft (to Panthers)
1995-02-15,Lions,,&bull; Mark Rodenhauser,lost in expansion draft (to Panthers)
1995-02-15,Oilers,,Mike Teeter,lost in expansion draft (to Panthers)
1995-02-15,Panthers,,,
1995-02-15,Panthers,&bull; Andre Powell,,expansion draft pick (#24 overall) (from Giants)
1995-02-15,Panthers,&bull; Bob Christian,,expansion draft pick (#28 overall) (from Bears)
1995-02-15,Panthers,&bull; Brian O'Neal,,expansion draft pick (#38 overall) (from Eagles)
1995-02-15,Panthers,&bull; Dave Garnett,,expansion draft pick (#22 overall) (from Vikings)
1995-02-15,Panthers,&bull; David Mims (a),,expansion draft pick (#60 overall) (from Falcons)
1995-02-15,Panthers,&bull; Dewell Brewer,,expansion draft pick (#26 overall) (from Colts)
1995-02-15,Panthers,&bull; Eric Guliford,,expansion draft pick (#63 overall) (from Vikings)
1995-02-15,Panthers,&bull; Fred Foggie,,expansion draft pick (#30 overall) (from Steelers)
1995-02-15,Panthers,&bull; Mark Rodenhauser,,expansion draft pick (#34 overall) (from Lions)
1995-02-15,Panthers,&bull; Shawn Price,,expansion draft pick (#62 overall) (from Buccaneers)
1995-02-15,Panthers,&bull; William Sims,,expansion draft pick (#52 overall) (from Vikings)
1995-02-15,Panthers,Mike Teeter,,expansion draft pick (#66 overall) (from Oilers)
1995-02-15,Steelers,,&bull; Fred Foggie,lost in expansion draft (to Panthers)
1995-02-15,Vikings,,&bull; Dave Garnett,lost in expansion draft (to Panthers)
1995-02-15,Vikings,,&bull; Eric Guliford,lost in expansion draft (to Panthers)
1995-02-15,Vikings,,&bull; William Sims,lost in expansion draft (to Panthers)
1995-02-15,49ers,,&bull; Harry Boatswain,lost in expansion draft (to Panthers)
1995-02-15,49ers,,&bull; Mark Thomas,lost in expansion draft (to Panthers)
1995-02-15,Bengals,,&bull; Eric Ball,lost in expansion draft (to Panthers)
1995-02-15,Bills,,&bull; Vince Marrow,lost in expansion draft (to Panthers)
1995-02-15,Broncos,,&bull; Cedric Tillman (b),lost in expansion draft (to Jaguars)
1995-02-15,Broncos,,&bull; Charles Swann,lost in expansion draft (to Panthers)
1995-02-15,Browns,,&bull; Mark Carrier,lost in expansion draft (to Panthers)
1995-02-15,Chargers,,&bull; Curtis Whitley,lost in expansion draft (to Panthers)
1995-02-15,Chiefs,,&bull; Greg Kragen,lost in expansion draft (to Panthers)
1995-02-15,Colts,,&bull; Paul Butcher,lost in expansion draft (to Panthers)
1995-02-15,Cowboys,,&bull; Derrick Lassic,lost in expansion draft (to Panthers)
1995-02-15,Cowboys,,&bull; Willie Jackson (c),lost in expansion draft (to Jaguars)
1995-02-15,Dolphins,,&bull; Brant Boyer,lost in expansion draft (to Jaguars)
1995-02-15,Dolphins,,&bull; Doug Pederson,lost in expansion draft (to Panthers)
1995-02-15,Falcons,,&bull; Bill Goldberg,lost in expansion draft (to Panthers)
1995-02-15,Jets,,&bull; Jack Trudeau,lost in expansion draft (to Panthers)
1995-02-15,Lions,,Larry Ryans,lost in expansion draft (to Panthers)
1995-02-15,Patriots,,&bull; Rod Smith (M.),lost in expansion draft (to Panthers)
1995-02-15,Patriots,,&bull; Steve Hawkins,lost in expansion draft (to Panthers)
1995-02-15,Raiders,,&bull; Cary Brabham,lost in expansion draft (to Panthers)
1995-02-15,Rams,,&bull; Howard Griffith,lost in expansion draft (to Panthers)
1995-02-15,Rams,,&bull; Richard Buchanan,lost in expansion draft (to Panthers)
1995-02-15,Redskins,,&bull; Desmond Howard,lost in expansion draft (to Jaguars)
1995-02-15,Redskins,,&bull; Kurt Haws,lost in expansion draft (to Panthers)
1995-02-15,Saints,,&bull; Baron Rollins,lost in expansion draft (to Panthers)
1995-02-15,Seahawks,,&bull; Tyrone Rogers,lost in expansion draft (to Panthers)
1995-02-15,Steelers,,&bull; Tim McKyer,lost in expansion draft (to Panthers)
1995-02-15,Jaguars,&bull; Brant Boyer,,expansion draft pick (from Dolphins)
1995-02-15,Jaguars,&bull; Cedric Tillman (b),,expansion draft pick (from Broncos)
1995-02-15,Jaguars,&bull; Desmond Howard,,expansion draft pick (from Redskins)
1995-02-15,Jaguars,&bull; Willie Jackson (c),,expansion draft pick (from Cowboys)
1995-02-15,Panthers,&bull; Baron Rollins,,expansion draft pick (#50 overall) (from Saints)
1995-02-15,Panthers,&bull; Bill Goldberg,,expansion draft pick (#64 overall) (from Falcons)
1995-02-15,Panthers,&bull; Cary Brabham,,expansion draft pick (#20 overall) (from Raiders)
1995-02-15,Panthers,&bull; Charles Swann,,expansion draft pick (#58 overall) (from Broncos)
1995-02-15,Panthers,&bull; Curtis Whitley,,expansion draft pick (#14 overall) (from Chargers)
1995-02-15,Panthers,&bull; Derrick Lassic,,expansion draft pick (#40 overall) (from Cowboys)
1995-02-15,Panthers,&bull; Doug Pederson,,expansion draft pick (#44 overall) (from Dolphins)
1995-02-15,Panthers,&bull; Eric Ball,,expansion draft pick (#65 overall) (from Bengals)
1995-02-15,Panthers,&bull; Greg Kragen,,expansion draft pick (#18 overall) (from Chiefs)
1995-02-15,Panthers,&bull; Harry Boatswain,,expansion draft pick (#4 overall) (from 49ers)
1995-02-15,Panthers,&bull; Howard Griffith,,expansion draft pick (#16 overall) (from Rams)
1995-02-15,Panthers,&bull; Jack Trudeau,,expansion draft pick (#56 overall) (from Jets)
1995-02-15,Panthers,&bull; Kurt Haws,,expansion draft pick (#6 overall) (from Redskins)
1995-02-15,Panthers,&bull; Larry Ryans,,expansion draft pick (#48 overall) (from Lions)
1995-02-15,Panthers,&bull; Mark Carrier,,expansion draft pick (#32 overall) (from Browns)
1995-02-15,Panthers,&bull; Mark Thomas,,expansion draft pick (#10 overall) (from 49ers)
1995-02-15,Panthers,&bull; Paul Butcher,,expansion draft pick (#54 overall) (from Colts)
1995-02-15,Panthers,&bull; Richard Buchanan,,expansion draft pick (#42 overall) (from Rams)
1995-02-15,Panthers,&bull; Rod Smith (M.),,expansion draft pick (#2 overall) (from Patriots)
1995-02-15,Panthers,&bull; Steve Hawkins,,expansion draft pick (#36 overall) (from Patriots)
1995-02-15,Panthers,&bull; Tim McKyer,,expansion draft pick (#12 overall) (from Steelers)
1995-02-15,Panthers,&bull; Tyrone Rogers,,expansion draft pick (#8 overall) (from Seahawks)
1995-02-15,Panthers,&bull; Vince Marrow,,expansion draft pick (#46 overall) (from Bills)
1995-02-17,Bears,,&bull; Marv Cook,team terminated contract
1995-02-17,Bears,&bull; Dwayne Joseph,,re-signed
1995-02-17,Bears,&bull; Ervin Collier,,re-signed
1995-02-17,Bills,,&bull; Mark Pike,player became an unrestricted free agent
1995-02-17,Bills,&bull; Ted Cottrell,,hired as linebackers coach
1995-02-17,Broncos,&bull; Mike Heimerdinger,,hired as wide receivers coach
1995-02-17,Browns,,&bull; Reginald Jones / Reggie Jones (M.),player became a free agent
1995-02-17,Buccaneers,&bull; Scott Dill,,re-signed to a 3-year contract
1995-02-17,Chiefs,&bull; Gunther Cunningham,,hired as defensive coordinator
1995-02-17,Colts,,&bull; Ed Toner (b),team declined to tender contract
1995-02-17,Colts,,&bull; Jon Hand,released
1995-02-17,Colts,&bull; Ashley Ambrose,,team tendered contract to restricted free agent
1995-02-17,Colts,&bull; Jason Belser,,team tendered contract to restricted free agent
1995-02-17,Colts,&bull; Stephen Grant / Steve Grant (c)?,,team tendered contract to restricted free agent
1995-02-17,Colts,&bull; Tony McCoy,,team tendered contract to restricted free agent
1995-02-17,Dolphins,&bull; Scott Miller,,re-signed to a 3-year contract
1995-02-17,Eagles,&bull; Gerald Carr,,hired as wide receivers coach
1995-02-17,Jets,&bull; Bobby Houston,,re-signed to a 4-year contract
1995-02-17,Jets,&bull; Marcus Turner,,re-signed to a 2-year contract
1995-02-17,Jets,&bull; Mo Lewis,,re-signed to a 5-year contract
1995-02-17,Packers,&bull; Jim Lind (a),,hired as linebackers coach
1995-02-17,Packers,&bull; Marty Mornhinweg,,hired as offensive assistant/quality control coach
1995-02-17,Steelers,,&bull; Gary Anderson,team declined to tender contract
1995-02-20,Panthers,&bull; John Kasay,,signed free agent
1995-02-20,Buccaneers,,&bull; Dan Stryzinski,lost unrestricted free agent (to Falcons)
1995-02-20,Falcons,&bull; Dan Stryzinski,,signed unrestricted free agent (from Buccaneers)
1995-02-22,Cowboys,&bull; Tony Tolbert,,"re-signed free agent to a 5-year, $15M contract"
1995-02-22,Eagles,&bull; Dan Smith,,hired as special teams coach
1995-02-22,Eagles,&bull; Joe Vitt,,hired as linebackers coach
1995-02-22,Eagles,&bull; Mike Trgovac,,hired as defensive line coach
1995-02-22,Eagles,&bull; Mike Wolf,,hired as strength and conditioning coach
1995-02-22,Eagles,&bull; Ted Williams,,hired as tight ends coach
1995-02-22,Giants,&bull; Brad Daluiso,,signed to a 3-year contract
1995-02-22,Panthers,&bull; Derrick Graham,,signed
1995-02-22,Raiders,&bull; Garrett Giemont,,hired as strength &amp; conditioning coach
1995-02-22,Saints,&bull; Lance Gunn,,signed to a 1-year contract
1995-02-22,Saints,Natu Tuatagaloa,,signed to a 2-year contract
1995-02-22,Bills,,&bull; Marvcus Patton,lost free agent (to Redskins)
1995-02-22,Cowboys,,&bull; Jim Jeffcoat,lost free agent (to Bills)
1995-02-22,Bills,&bull; Jim Jeffcoat,,"signed free agent (from Cowboys) to a 3-year, reported $1M/year contract"
1995-02-22,Redskins,&bull; Marvcus Patton,,signed free agent (from Bills)
1995-02-24,Bears,,Chris Gardocki,lost free agent (to Colts)
1995-02-24,Colts,Chris Gardocki,,signed free agent (from Bears)
1995-02-24,Broncos,,&bull; Ted Washington (e),lost unrestricted free agent (to Bills)
1995-02-24,Bills,&bull; Ted Washington (e),,"signed unrestricted free agent (from Broncos) to a 3-year, $3.3M contract"
1995-02-28,Chiefs,&bull; Tony Richardson,,signed free agent
1995-02-28,Jaguars,&bull; Don Davey,,signed unrestricted free agent
1995-02-28,Jaguars,&bull; Jimmy Smith (Lee),,signed free agent
1995-02-28,Jaguars,&bull; Joel Smeenge,,signed unrestricted free agent
1995-02-28,Jaguars,&bull; Shawn Bouwens,,signed unrestricted free agent
1995-02-28,Packers,,&bull; Sterling Sharpe,released
1995-02-28,Oilers,,&bull; Tim Roberts,lost free agent (to Patriots)
1995-02-28,Patriots,&bull; Tim Roberts,,signed free agent (from Oilers)
1995-02-28,Patriots,,&bull; 1995 fifth round pick (#159-Gary Walker (b)),sent to Oilers as compensation for restricted free agent Tim Roberts
1995-02-28,Oilers,&bull; 1995 fifth round pick (#159-Gary Walker (b)),,received from Patriots as compensation for restricted free agent Tim Roberts
1995-03-01,49ers,&bull; Kirk Scrafford,,signed unrestricted free agent (from Broncos) (date approximate)
1995-03-01,Bears,Chris Zorich,,"re-signed to a 3-year, $4.85M contract"
1995-03-01,Broncos,,&bull; Kirk Scrafford,lost unrestricted free agent (to 49ers) (date approximate)
1995-03-01,Broncos,&bull; Tim Hauck,,signed unrestricted free agent (from Packers) (date approximate)
1995-03-01,Jets,&bull; Dexter Carter,,signed free agent (date approximate)
1995-03-01,Jets,&bull; Erik Howard,,signed free agent (date approximate)
1995-03-01,Jets,&bull; Gary Jones,,signed free agent (date approximate)
1995-03-01,Jets,&bull; Todd Scott,,signed free agent (date approximate)
1995-03-01,Jets,&bull; Walter Brister / Bubby Brister,,signed free agent (date approximate)
1995-03-01,Packers,,&bull; Tim Hauck,lost unrestricted free agent (to Broncos) (date approximate)
1995-03-01,Seahawks,Matt Joyce,,signed free agent
1995-03-01,49ers,,&bull; Bill Musgrave,lost unrestricted free agent (to Broncos) (date approximate)
1995-03-01,Bills,,&bull; Mike Lodish,lost unrestricted free agent (to Broncos) (date approximate)
1995-03-01,Broncos,,&bull; David Widell,lost unrestricted free agent (to Jaguars) (date approximate)
1995-03-01,Browns,,&bull; James Jones (A.),lost unrestricted free agent (to Broncos) (date approximate)
1995-03-01,Browns,,&bull; Michael Dean Perry,lost unrestricted free agent (to Broncos) (date approximate)
1995-03-01,Cardinals,,&bull; Bill Lewis,lost unrestricted free agent (to Broncos) (date approximate)
1995-03-01,Colts,,&bull; Cecil Gray,lost free agent (to Raiders) (date approximate)
1995-03-01,Colts,,&bull; Don Majkowski,lost free agent (to Lions) (date approximate)
1995-03-01,Eagles,,&bull; Britt Hager,lost unrestricted free agent (to Broncos) (date approximate)
1995-03-01,Eagles,,&bull; Broderick Thompson,lost unrestricted free agent (to Broncos) (date approximate)
1995-03-01,Jets,,&bull; Eric Thomas (a),lost unrestricted free agent (to Broncos) (date approximate)
1995-03-01,Oilers,,&bull; Bill Schultz,lost unrestricted free agent (to Broncos) (date approximate)
1995-03-01,Raiders,,&bull; Lionel Washington,lost unrestricted free agent (to Broncos) (date approximate)
1995-03-01,Vikings,,&bull; Reggie McElroy,lost unrestricted free agent (to Broncos) (date approximate)
1995-03-01,Broncos,&bull; Bill Lewis,,signed unrestricted free agent (from Cardinals) (date approximate)
1995-03-01,Broncos,&bull; Bill Musgrave,,signed unrestricted free agent (from 49ers) (date approximate)
1995-03-01,Broncos,&bull; Bill Schultz,,signed unrestricted free agent (from Oilers) (date approximate)
1995-03-01,Broncos,&bull; Britt Hager,,signed unrestricted free agent (from Eagles) (date approximate)
1995-03-01,Broncos,&bull; Broderick Thompson,,signed unrestricted free agent (from Eagles) (date approximate)
1995-03-01,Broncos,&bull; Eric Thomas (a),,signed unrestricted free agent (from Jets) (date approximate)
1995-03-01,Broncos,&bull; James Jones (A.),,signed unrestricted free agent (from Browns) (date approximate)
1995-03-01,Broncos,&bull; Lionel Washington,,signed unrestricted free agent (from Raiders) (date approximate)
1995-03-01,Broncos,&bull; Michael Dean Perry,,signed unrestricted free agent (from Browns) (date approximate)
1995-03-01,Broncos,&bull; Mike Lodish,,signed unrestricted free agent (from Bills) (date approximate)
1995-03-01,Broncos,&bull; Reggie McElroy,,signed unrestricted free agent (from Vikings) (date approximate)
1995-03-01,Jaguars,&bull; David Widell,,signed unrestricted free agent (from Broncos) (date approximate)
1995-03-01,Lions,&bull; Don Majkowski,,signed free agent (from Colts) (date approximate)
1995-03-01,Raiders,&bull; Cecil Gray,,signed free agent (from Colts) (date approximate)
1995-03-02,Bears,&bull; John Mangum,,"re-signed to a 3-year, $1.6M contract"
1995-03-02,Bears,&bull; Vinson Smith,,re-signed to a 2-year contract
1995-03-02,Falcons,&bull; undisclosed conditional pick (?-?),&bull; Harold Alexander,trade with Lions
1995-03-02,Lions,&bull; Harold Alexander,&bull; undisclosed conditional pick (?-?),trade with Falcons
1995-03-02,Patriots,,&bull; Kevin Turner,lost restricted free agent (to Eagles)
1995-03-02,Eagles,&bull; Kevin Turner,,"signed restricted free agent (from Patriots) to a 3-year, $4.125M contract"
1995-03-02,Eagles,,&bull; 1995 third round pick (#74-Curtis Martin),sent to Patriots as compensation for restricted free agent Kevin Turner
1995-03-02,Patriots,&bull; 1995 third round pick (#74-Curtis Martin),,received from Eagles as compensation for restricted free agent Kevin Turner
1995-03-03,Oilers,&bull; Mel Gray,,signed free agent
1995-03-07,Bears,&bull; Mitch Berger,,signed free agent
1995-03-07,Jaguars,&bull; Bryan Barker,,signed free agent
1995-03-07,49ers,,&bull; Ed McCaffrey,lost unrestricted free agent (to Broncos)
1995-03-07,Cardinals,,&bull; Randal Hill,lost free agent (to Dolphins)
1995-03-07,Broncos,&bull; Ed McCaffrey,,signed unrestricted free agent (from 49ers)
1995-03-07,Dolphins,&bull; Randal Hill,,signed free agent (from Cardinals)
1995-03-08,Dolphins,,&bull; Jeff Dellenbach,lost free agent (to Patriots)
1995-03-08,Patriots,&bull; Jeff Dellenbach,,signed free agent (from Dolphins)
1995-03-09,Bears,&bull; Michael Timpson,,signed restricted free agent to an offer sheet
1995-03-09,Bills,Bryce Paup,,signed to a 3-year contract
1995-03-09,Chiefs,&bull; Jeff Criswell,,signed
1995-03-09,Eagles,&bull; Chuck Knox Jr.,,hired as defensive assistant coach
1995-03-09,Eagles,&bull; Juan Castillo,,hired as offensive assistant coach
1995-03-09,Eagles,&bull; Rhett Hall,,signed to three 1-year contracts
1995-03-09,Giants,&bull; Corey Miller,,re-signed
1995-03-09,Giants,&bull; Pete Shufelt,,re-signed
1995-03-09,Oilers,&bull; Darryll Lewis / Daryll Lewis,,signed to a 5-year contract
1995-03-09,Vikings,&bull; Broderick Thomas,,signed
1995-03-10,Dolphins,,&bull; Aaron Craver,lost unrestricted free agent (to Broncos)
1995-03-10,Rams,,&bull; Chris Chandler,lost free agent (to Oilers) (date 03-28 per titansonline.com)
1995-03-10,Seahawks,,&bull; 1995 third round pick (#73-Brian Williams (M.),sent to Packers as compensation for restricted free agent Corey Harris
1995-03-10,Steelers,,&bull; Eric Green (a),lost free agent (to Dolphins)
1995-03-10,Broncos,&bull; Aaron Craver,,signed unrestricted free agent (from Dolphins)
1995-03-10,Dolphins,&bull; Eric Green (a),,"signed free agent (from Steelers) to a 6-year, $12M contract"
1995-03-10,Oilers,&bull; Chris Chandler,,signed free agent (from Rams) (date 03-28 per titansonline.com)
1995-03-10,Packers,&bull; 1995 third round pick (#73-Brian Williams (M.),,received from Seahawks as compensation for restricted free agent Corey Harris
1995-03-11,Jaguars,&bull; Kelvin Pritchett,,signed free agent
1995-03-12,Jaguars,&bull; Jeff Lageman,,signed free agent
1995-03-14,Bills,&bull; Mark Pike,,re-signed unrestricted free agent
1995-03-14,Jaguars,&bull; Mickey Washington,,signed
1995-03-14,Saints,,&bull; Carl Lee,released
1995-03-20,Seahawks,,&bull; Ray Donaldson,lost free agent (to Cowboys)
1995-03-20,Cowboys,&bull; Ray Donaldson,,"signed free agent to a 2-year, $1.6M contract"
1995-03-21,Bears,&bull; Anthony Johnson (a)?,,signed
1995-03-21,Bears,&bull; Scott Adams,,signed free agent
1995-03-21,Dolphins,&bull; 1995 fourth round pick (#117-Jeff Miller),&bull; Mark Ingram (a),trade with Packers
1995-03-21,Packers,&bull; Mark Ingram (a),&bull; 1995 fourth round pick (#117-Jeff Miller),trade with Dolphins
1995-03-21,Saints,,&bull; Frank Warren (a),retired
1995-03-21,Steelers,&bull; Corey Holliday,,signed free agent
1995-03-21,Steelers,&bull; Craig Thompson,,signed free agent
1995-03-21,Steelers,&bull; Jeff Esters,,signed
1995-03-21,Colts,,&bull; Kerry Cash,lost unrestricted free agent (to Raiders)
1995-03-21,Vikings,,&bull; Robert Harris,lost free agent (to Giants) (Vikings declined to match Giants offer sheet)
1995-03-21,Giants,&bull; Robert Harris,,"signed free agent (from Vikings, who declined to match Giants offer sheet)"
1995-03-21,Raiders,&bull; Kerry Cash,,signed unrestricted free agent (from Colts)
1995-03-23,Broncos,&bull; Rod Smith (b),,signed undrafted free agent (N)
1995-03-23,Cowboys,,&bull; Mark Stepnoski,lost unrestricted free agent (to Oilers)
1995-03-23,Oilers,&bull; Mark Stepnoski,,signed unrestricted free agent (from Cowboys)
1995-03-24,Falcons,,&bull; Andre Rison,lost free agent (to Browns)
1995-03-24,Browns,&bull; Andre Rison,,"signed free agent (from Falcons) to a 5-year, $17M contract (including $5M bonus)"
1995-03-25,Browns,&bull; 1995 first round pick (#10-J.J. Stokes),&bull; Eric Metcalf<br/>&bull; 1995 first round pick (#26-Devin Bush),trade with Falcons
1995-03-25,Falcons,&bull; Eric Metcalf<br/>&bull; 1995 first round pick (#26-Devin Bush),&bull; 1995 first round pick (#10-J.J. Stokes),trade with Browns
1995-03-25,49ers,,&bull; Ricky Watters,lost free agent (to Eagles)
1995-03-25,Eagles,&bull; Ricky Watters,,signed free agent (from 49ers)
1995-03-26,Bills,,&bull; Frank Reich,lost free agent (to Panthers)
1995-03-26,Panthers,&bull; Frank Reich,,"signed free agent (from Bills) to a 1-year, $1.25M contract"
1995-03-27,Bills,&bull; Adam Lingner,,signed
1995-03-27,Raiders,&bull; Derrick Fenner,,signed
1995-03-27,Vikings,&bull; Brad Johnson (b),,re-signed to a 1-year contract
1995-03-27,Vikings,&bull; Martin Harrison,,re-signed to a 1-year contract
1995-03-27,Vikings,&bull; Mike Morris,,signed to a 4-year contract
1995-03-27,Vikings,Pete Bercich,,signed to a 2-year contract
1995-03-27,Eagles,,&bull; Eric Allen (A.),lost free agent (to Saints) (Eagles declined to match Saints offer sheet)
1995-03-27,Redskins,,&bull; Mark Schlereth,lost unrestricted free agent (to Broncos)
1995-03-27,Broncos,&bull; Mark Schlereth,,signed unrestricted free agent (from Redskins)
1995-03-27,Saints,&bull; Eric Allen (A.),,signed free agent (from Eagles) (Eagles declined to match Saints offer sheet)
1995-03-29,Chiefs,&bull; Rich Gannon,,signed free agent
1995-03-29,Dolphins,&bull; 1995 second round pick (#53-Andrew Greene),&bull; Keith Jackson<br/>&bull; 1995 fourth round pick (#117-Jeff Miller),trade with Packers
1995-03-29,Packers,&bull; Keith Jackson<br/>&bull; 1995 fourth round pick (#117-Jeff Miller),&bull; 1995 second round pick (#53-Andrew Greene),trade with Dolphins
1995-03-29,Raiders,&bull; Bruce Pickens,,signed free agent
1995-03-31,Jets,,&bull; Brian Washington,lost unrestricted free agent (to Chiefs)
1995-03-31,Jets,,&bull; James Hasty,lost unrestricted free agent (to Chiefs)
1995-03-31,Packers,,&bull; Matt Brock,lost unrestricted free agent (to Jets)
1995-03-31,Chiefs,&bull; Brian Washington,,signed unrestricted free agent (from Jets) to a 5-year contract
1995-03-31,Chiefs,&bull; James Hasty,,signed unrestricted free agent (from Jets) to a 4-year contract
1995-03-31,Jets,&bull; Matt Brock,,signed unrestricted free agent (from Packers)
1995-04-01,Browns,&bull; 1995 fifth round pick (#136-Tau Pupua)<br/>&bull; 1996 sixth round pick (#186-James Roe),&bull; 1995 fourth round pick (#123-Mike Thompson),trade with Jaguars (date approximate)
1995-04-01,Jaguars,&bull; 1995 fourth round pick (#123-Mike Thompson),&bull; 1995 fifth round pick (#136-Tau Pupua)<br/>&bull; 1996 sixth round pick (#186-James Roe),trade with Browns (date approximate)
1995-04-03,Bengals,&bull; Tom Waddle,,signed
1995-04-03,Cardinals,&bull; 1995 fourth round pick (#106-Melvin Hayes),&bull; Ricky Proehl,trade with Seahawks
1995-04-03,Dolphins,&bull; Terrell Buckley,&bull; past considerations (?),trade with Packers
