year,team,player,position,birthdate,college
1978,ARI,Pat Tilley,WR,2/15/1953,Louisiana Tech  
1978,ARI,Curtis Townsend,LB,1/20/1955,Arkansas  
1978,ARI,Roger Wehrli,DB,11/26/1947,Missouri  
1978,ARI,Greg Westbrooks,LB,2/24/1953,Colorado  
1978,ARI,Eric Williams,LB,6/17/1955,Southern California  
1978,ARI,Mike Wood,K,9/3/1954,Southeast Missouri State  
1978,ARI,Roland Woolsey,DB,8/11/1953,Boise State  
1978,ARI,Keith Wortman,OG,7/20/1950,Nebraska  
1978,ARI,Ron Yankowski,DE,10/23/1946,Kansas State  
1978,ARI,Bob Young,OG,9/3/1942,Howard Payne  
1978,ARI,John Zook,DE,9/24/1947,Kansas  
1978,ATL,Jim Bailey,DT,6/9/1948,Kansas  
1978,ATL,Steve Bartkowski,QB,11/12/1952,California  
1978,ATL,Bubba Bean,RB,1/26/1954,Texas A&M  
1978,ATL,Greg Brezina,LB,1/7/1946,Houston  
1978,ATL,Warren Bryant,OT,11/11/1955,Kentucky  
1978,ATL,Rick Byas,DB,10/19/1950,Wayne State (MI)  
1978,ATL,Ray Easterling,DB,9/3/1949,Richmond  
1978,ATL,Mike Esposito,RB,4/24/1953,Boston College  
1978,ATL,Wilson Faumuina,DT,8/11/1954,San Jose State  
1978,ATL,Edgar Fields,DE,3/10/1954,Texas A&M  
1978,ATL,Wally Francis,WR,11/7/1951,Arkansas-Pine Bluff  
1978,ATL,George Franklin,RB,7/5/1954,Texas A&M-Kingsville  
1978,ATL,Lewis Gilbert,TE,5/24/1956,Florida  
1978,ATL,Bob Glazebrook,DB,3/7/1956,Fresno State  
1978,ATL,Claude Humphrey,DE,6/29/1944,Tennessee State  
1978,ATL,Alfred Jackson,WR,8/3/1955,Texas  
1978,ATL,Ernie Jackson,DB,4/11/1950,Duke  
1978,ATL,John James,P,1/21/1949,Florida  
1978,ATL,Alfred Jenkins,WR,1/25/1952,Morris Brown  
1978,ATL,June Jones,QB,2/19/1953,Portland State  
1978,ATL,Mike Kenn,OT,2/9/1956,Michigan  
1978,ATL,Fulton Kuykendall,LB,6/10/1953,UCLA  
1978,ATL,Rolland Lawrence,DB,3/24/1951,Tabor  
1978,ATL,Mike Lewis,DT,7/14/1949,Arkansas-Pine Bluff  
1978,ATL,Tim Mazzetti,K,2/1/1956,Pennsylvania  
1978,ATL,Ronnie McCartney,LB,7/20/1954,Tennessee  
1978,ATL,Dewey McClain,LB,4/25/1954,East Central (OK)  
1978,ATL,Phil McKinnely,OT,7/8/1954,UCLA  
1978,ATL,Jeff Merrow,DE,7/12/1953,West Virginia  
1978,ATL,Jim Mitchell,TE,10/19/1947,Prairie View A&M  
1978,ATL,Marv Montgomery,OT,2/8/1948,Southern California  
1978,ATL,Ken Moore,TE,7/25/1954,Northern Illinois  
1978,ATL,Tom Moriarty,DB,4/7/1953,Bowling Green  
1978,ATL,Ralph Ortega,LB,7/6/1953,Florida  
1978,ATL,Ricky Patton,RB,4/6/1954,Jackson State  
1978,ATL,Dennis Pearson,WR,2/9/1955,San Diego State  
1978,ATL,Robert Pennywell,LB,11/6/1954,Grambling  
1978,ATL,Tom Pridemore,DB,4/29/1956,West Virginia  
1978,ATL,Frank Reed,DB,5/13/1954,Washington  
1978,ATL,Billy Ryckman,WR,2/28/1955,Louisiana Tech  
1978,ATL,Paul Ryczek,C,6/25/1952,Virginia  
1978,ATL,Dave Scott,OG,12/26/1953,Kansas  
1978,ATL,Haskel Stanback,RB,3/19/1952,Tennessee  
1978,ATL,Fred Steinfort,K,11/3/1952,Boston College  
1978,ATL,Steve Stewart,LB,5/1/1956,Minnesota  
1978,ATL,Jim Stienke,DB,11/7/1950,Texas State  
1978,ATL,Ray Strong,RB,5/7/1956,Nevada-Las Vegas  
1978,ATL,Garth Ten Napel,LB,3/27/1954,Texas A&M  
1978,ATL,R.C. Thielemann,OG,8/12/1955,Arkansas  
1978,ATL,Jeff Van Note,C,2/7/1946,Kentucky  
1978,ATL,James Wright,TE,9/1/1956,Texas Christian  
1978,ATL,Jeff Yeates,DE,8/3/1951,Boston College  
1978,BUF,Bill Adams,OG,2/4/1950,Holy Cross  
1978,BUF,Doug Becker,LB,6/27/1956,Notre Dame  
1978,BUF,Jim Braxton,RB,5/23/1949,West Virginia  
1978,BUF,Curtis Brown,RB,12/7/1954,Missouri  
1978,BUF,Mario Celotto,LB,8/23/1956,Southern California  
1978,BUF,Bob Chandler,WR,4/24/1949,Southern California  
1978,BUF,Mario Clark,DB,3/29/1954,Oregon  
1978,BUF,Joe DeLamielleure,OG,3/16/1951,Michigan State  
1978,BUF,Tom Dempsey,K,1/12/1941,Palomar College JC (CA)  
1978,BUF,Joe Devlin,OT,2/23/1954,Iowa  
1978,BUF,Phil Dokes,DT,9/7/1955,Oklahoma State  
1978,BUF,Elbert Drungo,OT,4/30/1943,Tennessee State  
1978,BUF,Tom Ehlers,LB,7/14/1952,Kentucky  
1978,BUF,Joe Ferguson,QB,4/23/1950,Arkansas  
1978,BUF,Mike Franckowiak,RB,3/25/1953,Central Michigan  
1978,BUF,Steve Freeman,DB,5/8/1953,Mississippi State  
1978,BUF,Reuben Gant,TE,4/12/1952,Oklahoma State  
1978,BUF,Tom Graham,LB,4/15/1950,Oregon  
1978,BUF,Will Grant,C,3/7/1954,Kentucky  
1978,BUF,Tony Greene,DB,8/29/1949,Maryland  
1978,BUF,Dee Hardison,DE,5/2/1956,North Carolina  
1978,BUF,Roland Hooks,RB,1/2/1953,North Carolina State  
1978,BUF,Scott Hutchinson,DE,5/27/1956,Florida  
1978,BUF,Mekeli Ieremia,DT,3/4/1954,Brigham Young  
1978,BUF,Rusty Jackson,P,11/17/1950,Louisiana State  
1978,BUF,Dan Jilek,LB,12/3/1953,Michigan  
1978,BUF,Dennis Johnson,DT,10/22/1951,Delaware  
1978,BUF,Dennis Johnson,RB,2/26/1956,Mississippi State  
1978,BUF,Doug Jones,DB,5/31/1950,Cal State-Northridge  
1978,BUF,Ken Jones,OT,12/1/1952,Arkansas State  
1978,BUF,Mike Kadish,DT,5/27/1950,Notre Dame  
1978,BUF,Merv Krakau,LB,5/16/1951,Iowa State  
1978,BUF,Mike Levenseller,WR,2/21/1956,Washington State  
1978,BUF,Frank Lewis,WR,7/4/1947,Grambling  
1978,BUF,Dave Mays,QB,6/20/1949,Texas Southern  
1978,BUF,Randy McClanahan,LB,12/12/1954,Southwestern Louisiana  
1978,BUF,Reggie McKenzie,OG,7/27/1950,Michigan  
1978,BUF,Eddie McMillan,DB,11/25/1951,Florida State  
1978,BUF,Terry Miller,RB,1/7/1956,Oklahoma State  
1978,BUF,Keith Moody,DB,6/13/1953,Syracuse  
1978,BUF,Bill Munson,QB,8/11/1941,Utah State  
1978,BUF,Shane Nelson,LB,5/25/1955,Baylor  
1978,BUF,Willie Parker,C,12/28/1948,North Texas  
1978,BUF,Lou Piccone,WR,7/17/1949,West Liberty State  
1978,BUF,Steve Powell,RB,1/2/1956,Northeast Missouri State  
1978,BUF,Charles Romes,DB,12/16/1954,North Carolina Central  
1978,BUF,Lucius Sanford,LB,2/14/1956,Georgia Tech  
1978,BUF,Marvin Switzer,DB,10/28/1954,Kansas State  
1978,BUF,Larry Walton,WR,2/8/1947,Arizona State  
1978,BUF,Sherman White,DE,10/6/1948,California  
1978,BUF,Ben Williams,DE,9/1/1954,Mississippi  
1978,BUF,Leonard Willis,WR,3/4/1953,Ohio State  
1978,CHI,Ted Albrecht,OT,10/8/1954,California  
1978,CHI,Lionel Antoine,OT,8/31/1950,Southern Illinois  
1978,CHI,Bob Avellini,QB,8/28/1953,Maryland  
1978,CHI,Brian Baschnagel,WR,1/8/1954,Ohio State  
1978,CHI,Doug Becker,LB,6/27/1956,Notre Dame  
1978,CHI,Art Best,RB,3/18/1953,Kent State  
1978,CHI,Doug Buffone,LB,6/27/1944,Louisville  
1978,CHI,Gary Campbell,LB,3/4/1952,Colorado  
1978,CHI,Mike Cobb,TE,12/10/1955,Michigan State  
1978,CHI,Chris Devlin,LB,11/22/1953,Penn State  
1978,CHI,Robin Earl,RB,3/18/1955,Washington  
1978,CHI,Vince Evans,QB,6/14/1955,Southern California  
1978,CHI,Gary Fencik,DB,6/11/1954,Yale  
1978,CHI,Wentford Gaines,DB,2/4/1953,Cincinnati  
1978,CHI,Roland Harper,RB,2/28/1953,Louisiana Tech  
1978,CHI,Tommy Hart,DE,11/7/1944,Morris Brown  
1978,CHI,Mike Hartenstine,DE,7/27/1953,Penn State  
1978,CHI,Bruce Herron,LB,4/14/1954,New Mexico  
1978,CHI,Tom Hicks,LB,12/18/1952,Illinois  
1978,CHI,Noah Jackson,OG,4/14/1951,Tampa  
1978,CHI,Dan Jiggetts,OT,3/10/1954,Harvard  
1978,CHI,Greg Latta,TE,10/13/1952,Morgan State  
1978,CHI,Dennis Lick,OT,4/26/1954,Wisconsin  
1978,CHI,Virgil Livers,DB,3/26/1952,Western Kentucky  
1978,CHI,Jerry Meyers,DE,2/21/1954,Northern Illinois  
1978,CHI,Mike Morgan,RB,1/19/1956,Wisconsin  
1978,CHI,Jon Morris,C,4/5/1942,Holy Cross  
1978,CHI,Jerry Muckensturm,LB,10/13/1953,Arkansas State  
1978,CHI,Dan Neal,C,8/30/1949,Kentucky  
1978,CHI,Jim Osborne,DT,9/7/1949,Southern  
1978,CHI,Alan Page,DT,8/7/1945,Notre Dame  
1978,CHI,Bob Parsons,P,6/29/1950,Penn State  
1978,CHI,Walter Payton,RB,7/25/1954,Jackson State  
1978,CHI,Mike Phipps,QB,11/19/1947,Purdue  
1978,CHI,Doug Plank,DB,3/4/1953,Ohio State  
1978,CHI,Bo Rather,WR,10/7/1950,Michigan  
1978,CHI,Golden Richards,WR,12/31/1950,Brigham Young  
1978,CHI,Don Rives,LB,8/30/1951,Texas Tech  
1978,CHI,Ron Rydalch,DT,1/1/1952,Utah  
1978,CHI,Terry Schmidt,DB,5/28/1952,Ball State  
1978,CHI,Steve Schubert,WR,3/15/1951,Massachusetts  
1978,CHI,James Scott,WR,3/28/1952,Trinity Valley CC (TX)  
1978,CHI,Jeff Sevy,OT,10/24/1951,California  
1978,CHI,Brad Shearer,DT,8/10/1955,Texas  
1978,CHI,John Skibinski,RB,4/27/1955,Purdue  
1978,CHI,Revie Sorey,OG,9/10/1953,Illinois  
1978,CHI,Mike Spivey,DB,3/10/1954,Colorado  
1978,CHI,Bob Thomas,K,8/7/1952,Notre Dame  
1978,CHI,Len Walterscheid,DB,9/13/1954,Southern Utah  
1978,CIN,Ken Anderson,QB,2/15/1949,Augustana (IL)  
1978,CIN,Chris Bahr,K,2/3/1953,Penn State  
1978,CIN,Don Bass,TE,3/11/1956,Houston  
1978,CIN,Louis Breeden,DB,10/26/1953,North Carolina Central  
1978,CIN,Billy Brooks,WR,8/20/1953,Oklahoma  
1978,CIN,Ross Browner,DE,3/22/1954,Notre Dame  
1978,CIN,Glenn Bujnoch,OG,12/20/1953,Texas A&M  
1978,CIN,Gary Burley,DE,12/8/1952,Pittsburgh  
1978,CIN,Blair Bush,C,11/25/1956,Washington  
1978,CIN,Glenn Cameron,LB,2/21/1953,Florida  
1978,CIN,Boobie Clark,RB,11/8/1949,Bethune-Cookman  
1978,CIN,Marvin Cobb,DB,8/6/1953,Southern California  
1978,CIN,James Corbett,TE,2/22/1955,Pittsburgh  
1978,CIN,Isaac Curtis,WR,10/20/1950,San Diego State  
1978,CIN,Tony Davis,RB,1/21/1953,Nebraska  
1978,CIN,Tom DePaso,LB,2/22/1956,Penn State  
1978,CIN,Chris Devlin,LB,11/22/1953,Penn State  
1978,CIN,Tom Dinkel,LB,7/25/1956,Kansas  
1978,CIN,Mark Donahue,OG,1/29/1956,Michigan  
1978,CIN,Eddie Edwards,DE,4/25/1954,Miami  
1978,CIN,Lenvil Elliott,RB,9/2/1951,Northeast Missouri State  
1978,CIN,Archie Griffin,RB,8/24/1954,Ohio State  
1978,CIN,Ray Griffin,DB,6/29/1956,Ohio State  
1978,CIN,Bo Harris,LB,1/16/1953,Louisiana State  
1978,CIN,Rob Hertel,QB,2/21/1955,Southern California  
1978,CIN,Vern Holland,OT,6/27/1948,Tennessee State  
1978,CIN,Ron Hunt,OT,1/27/1955,Oregon  
1978,CIN,Dick Jauron,DB,10/7/1950,Yale  
1978,CIN,Bob Johnson,C,8/19/1946,Tennessee  
1978,CIN,Pete Johnson,RB,3/2/1954,Ohio State  
1978,CIN,Dave Lapham,OG,6/24/1952,Syracuse  
1978,CIN,Dennis Law,WR,4/4/1955,East Tennessee State  
1978,CIN,Jim LeClair,LB,10/30/1950,North Dakota  
1978,CIN,Rufus Mayes,OT,12/5/1947,Ohio State  
1978,CIN,Pat McInally,P,5/7/1953,Harvard  
1978,CIN,Melvin Morgan,DB,3/31/1953,Mississippi Valley State  
1978,CIN,Scott Perry,DB,3/11/1954,Williams  
1978,CIN,Ray Phillips,LB,3/18/1954,Nebraska  
1978,CIN,Dave Pureifory,DE,7/12/1949,Eastern Michigan  
1978,CIN,John Reaves,QB,3/2/1950,Florida  
1978,CIN,Ken Riley,DB,8/6/1947,Florida A&M  
1978,CIN,Tom Ruud,LB,7/26/1953,Nebraska  
1978,CIN,Ron Shumon,LB,12/11/1955,Wichita State  
1978,CIN,Deacon Turner,RB,1/2/1955,San Diego State  
1978,CIN,Ted Vincent,DT,8/10/1956,Wichita State  
1978,CIN,Rick Walker,TE,5/28/1955,UCLA  
1978,CIN,Wilson Whitley,DT,4/28/1955,Houston  
1978,CIN,Reggie Williams,LB,9/19/1954,Dartmouth  
1978,CIN,Mike Wilson,OT,5/28/1955,Georgia  
1978,CLE,Dick Ambrose,LB,1/17/1953,Virginia  
1978,CLE,Bob Babich,LB,5/5/1947,Miami (OH)  
1978,CLE,Leo Biedermann,OT,10/19/1955,California  
1978,CLE,Ron Bolton,DB,4/16/1950,Norfolk State  
1978,CLE,George Buehler,OG,8/10/1947,Stanford  
1978,CLE,Don Cockroft,K,2/6/1945,Adams State  
1978,CLE,Larry Collins,RB,8/8/1955,Texas A&M-Kingsville  
1978,CLE,Thom Darden,DB,8/28/1950,Michigan  
1978,CLE,Barry Darrow,OT,6/27/1950,Montana  
1978,CLE,Oliver Davis,DB,8/29/1954,Tennessee State  
1978,CLE,Tom DeLeone,C,8/13/1950,Ohio State  
1978,CLE,Doug Dieken,OT,2/12/1949,Illinois  
1978,CLE,Earl Edwards,DT,3/17/1946,Wichita State  
1978,CLE,Johnny Evans,P,2/18/1956,North Carolina State  
1978,CLE,Greg Fairchild,OG,3/10/1954,Tulsa  
1978,CLE,Ricky Feacher,WR,2/11/1954,Mississippi Valley State  
1978,CLE,Dave Graf,LB,8/5/1953,Penn State  
1978,CLE,Charlie Hall,LB,12/2/1948,Houston  
1978,CLE,Calvin Hill,RB,1/2/1947,Yale  
1978,CLE,Gerald Irons,LB,5/2/1947,Maryland Eastern Shore  
1978,CLE,Robert Jackson,LB,8/7/1954,Texas A&M  
