Date,Team,Acquired,Relinquished,Notes
1994-03-09,Broncos,&bull; Ray Crockett,,signed unrestricted free agent (from Lions)
1994-03-09,Dolphins,&bull; Michael Stewart,,signed free agent (from Rams)
1994-03-11,Steelers,,&bull; Merril Hoge,lost free agent (to Bears)
1994-03-11,Bears,&bull; Merril Hoge,,"signed free agent (from Steelers) to a 3-year, $2.4M contract"
1994-03-14,Vikings,,&bull; Jim McMahon,cut
1994-03-15,Dolphins,,&bull; Louis Oliver,lost free agent (to Bengals)
1994-03-15,Bengals,&bull; Louis Oliver,,signed free agent (from Dolphins)
1994-03-16,Bears,,&bull; Jim Harbaugh,released
1994-03-18,Chargers,&bull; 1995 sixth round pick (#177-Troy Sienkiewicz),&bull; Nate Lewis,trade with Rams
1994-03-18,Rams,&bull; Nate Lewis,&bull; 1995 sixth round pick (#177-Troy Sienkiewicz),trade with Chargers
1994-03-21,Browns,&bull; Walter Reeves,,signed
1994-03-21,Buccaneers,Lonnie Marts,,signed to a 3-year contract
1994-03-21,Jaguars,&bull; John Jones,,hired as executive director of administration
1994-03-21,Lions,&bull; Ron Hall,,signed to a 2-year contract
1994-03-21,Lions,Larry Ryans,,signed
1994-03-21,Vikings,&bull; Charles Evans (b),,re-signed to a 1-year contract
1994-03-24,49ers,,&bull; Keith DeLong,waived
1994-03-24,49ers,&bull; Gary Plummer,,signed to a 2-year contract
1994-03-24,Cardinals,&bull; Eric Hill (a),,signed to a 1-year contract
1994-03-24,Chargers,&bull; Chris Thomas,,signed
1994-03-24,Chargers,&bull; Sean Snyder,,signed
1994-03-24,Chargers,&bull; Tony Martin,&bull; 1994 fourth round pick (#115-Terry Irving),trade with Dolphins
1994-03-24,Colts,"&bull; 1994 first round pick (#7-Bryant Young)<br/>&bull; 1994 third round pick (#83-James Bostic)<br/>&bull; 1996 conditional round pick (first round if George plays 75% of snaps in nine victories in 1995, else second round) (#19-Marvin Harrison)",&bull; Jeff George,trade with Falcons
1994-03-24,Dolphins,&bull; 1994 fourth round pick (#115-Terry Irving),&bull; Tony Martin,trade with Chargers
1994-03-24,Falcons,&bull; Jeff George,"&bull; 1994 first round pick (#7-Bryant Young)<br/>&bull; 1994 third round pick (#83-James Bostic)<br/>&bull; 1996 conditional round pick (first round if George plays 75% of snaps in nine victories in 1995, else second round) (#19-Marvin Harrison)",trade with Colts
1994-03-24,Saints,&bull; Baron Rollins,,signed
1994-03-24,Saints,&bull; Darryl Milburn,,signed
1994-03-24,Saints,&bull; Joe Garten,,signed
1994-03-24,Saints,&bull; Willie Williams (L.),,signed free agent
1994-03-24,Broncos,,&bull; Vance Johnson,lost unrestricted free agent (to Chargers)
1994-03-24,Chargers,,&bull; Anthony Miller (a),lost unrestricted free agent (declined to match Broncos offer sheet)
1994-03-24,Dolphins,,&bull; David Griggs,lost free agent (to Chargers)
1994-03-24,Broncos,&bull; Anthony Miller (a),,"signed unrestricted free agent (from Chargers, who declined to match Broncos offer sheet)"
1994-03-24,Chargers,&bull; David Griggs,,signed free agent (from Dolphins) to a 2-year contract
1994-03-24,Chargers,&bull; Vance Johnson,,signed unrestricted free agent (from Broncos) to a 2-year contract
1994-03-29,Cowboys,,&bull; Jimmy Johnson,resigned as head coach
1994-03-30,Cowboys,&bull; Barry Switzer,,hired as head coach
1994-03-31,Packers,&bull; Ron Wolf (a),,re-signed as executive VP / general manager to a 3-year contract extension through 1999
1994-04-01,Eagles,&bull; Mark Dixon,,signed free agent
1994-04-01,Rams,&bull; Matt Turk,,signed free agent
1994-04-04,Bengals,&bull; Eric Moore (a),,signed
1994-04-04,Bills,&bull; Phil Bryant,,signed
1994-04-04,Colts,&bull; Mike Cook,,signed
1994-04-04,Steelers,&bull; Chuckie Dukes,,signed
1994-04-04,Steelers,&bull; Fred Foggie,,signed
1994-04-04,Steelers,&bull; Leslie Shepherd,,signed
1994-04-06,Eagles,&bull; Jeffrey Lurie,&bull; Norman Braman,agreed to transfer of ownership (pending approval of league owners)
1994-04-07,Chargers,&bull; 1995 sixth round pick (#183-Brandon Harrison (a)),&bull; Burt Grossman,trade with Eagles
1994-04-07,Eagles,&bull; Burt Grossman,&bull; 1995 sixth round pick (#183-Brandon Harrison (a)),trade with Chargers
1994-04-08,Colts,&bull; Jim Harbaugh,,signed free agent
1994-04-11,Chargers,&bull; 1995 fourth round pick (#104-Aaron Hayden),&bull; Marquez Pope,trade with Rams
1994-04-11,Rams,&bull; Marquez Pope,&bull; 1995 fourth round pick (#104-Aaron Hayden),trade with Chargers
1994-04-13,Cowboys,,&bull; Bernie Kosar,lost free agent (to Dolphins)
1994-04-13,Dolphins,&bull; Bernie Kosar,,signed free agent (from Cowboys)
1994-04-14,Chargers,&bull; Darren Bennett,,signed free agent
1994-04-14,Oilers,&bull; 1994 fourth round pick (#119-Michael Davis)<br/>&bull; 1995 third round pick (#89-Rodney Thomas (b)),&bull; Warren Moon,trade with Vikings
1994-04-14,Vikings,&bull; Warren Moon,&bull; 1994 fourth round pick (#119-Michael Davis)<br/>&bull; 1995 third round pick (#89-Rodney Thomas (b)),trade with Oilers
1994-04-18,Broncos,&bull; Ben Smith,&bull; 1995 third round pick (#78-Chris Jones (T.))<br/>&bull; 1996 fifth round pick (#147-Whit Marshall),trade with Eagles
1994-04-18,Cowboys,&bull; John Davis,,fifth round pick in supplemental draft
1994-04-18,Eagles,,&bull; Vai Sikahema,retired
1994-04-18,Eagles,&bull; 1995 third round pick (#78-Chris Jones (T.))<br/>&bull; 1996 fifth round pick (#147-Whit Marshall),&bull; Ben Smith,trade with Broncos
1994-04-18,Falcons,&bull; Bobby Hebert,,re-signed unrestricted free agent to a 1-year contract
1994-04-18,Cowboys,,&bull; Kevin Gogan,lost free agent (to Raiders)
1994-04-18,Oilers,,&bull; Sean Jones (a),lost unrestricted free agent (to Packers)
1994-04-18,Saints,,&bull; Derek Kennard (a),lost free agent (to Cowboys)
1994-04-18,Cowboys,&bull; Derek Kennard (a),,"signed free agent (from Saints) to a 1-year, $800K contract"
1994-04-18,Packers,&bull; Sean Jones (a),,"signed unrestricted free agent (from Oilers) to a reported 3-year, $7.8M contract"
1994-04-18,Raiders,&bull; Kevin Gogan,,"signed free agent (from Cowboys) to a 3-year, $3.6M contract"
1994-04-19,49ers,&bull; 1994 fifth round pick (#149-Dorsey Levens),&bull; Ted Washington (e),trade with Broncos
1994-04-19,Broncos,&bull; Ted Washington (e),&bull; 1994 fifth round pick (#149-Dorsey Levens),trade with 49ers
1994-04-19,Seahawks,&bull; Bobby Hamilton,,signed undrafted free agent
1994-04-20,Broncos,&bull; 1994 seventh round pick (#218-Tom Nalen),&bull; Arthur Marshall,trade with Giants (date approximate)
1994-04-20,Giants,&bull; Arthur Marshall,&bull; 1994 seventh round pick (#218-Tom Nalen),trade with Broncos (date approximate)
1994-04-21,Vikings,&bull; Robert Griffith,,signed free agent
1994-04-22,Broncos,,&bull; Greg Kragen,released
1994-04-22,Lions,&bull; Dave Krieg,,signed
1994-04-22,Packers,&bull; Reggie Cobb,,signed
1994-04-23,49ers,&bull; 1994 first round pick (#28-William Floyd)<br/>&bull; 1994 second round pick (#62-Tyrone Drakeford),&bull; 1994 first round pick (#23-Shante Carver)<br/>&bull; 1994 seventh round pick (#217-Rob Holmberg),trade with Cowboys (date approximate)
1994-04-23,Buccaneers,&bull; Thomas Everett,&bull; 1994 fourth round pick (#109-Willie Jackson (c)),trade with Cowboys (date approximate)
1994-04-23,Cowboys,&bull; 1994 first round pick (#23-Shante Carver)<br/>&bull; 1994 seventh round pick (#217-Rob Holmberg),&bull; 1994 first round pick (#28-William Floyd)<br/>&bull; 1994 second round pick (#62-Tyrone Drakeford),trade with 49ers (date approximate)
1994-04-23,Cowboys,&bull; 1994 fourth round pick (#109-Willie Jackson (c)),&bull; Thomas Everett,trade with Buccaneers (date approximate)
1994-04-23,Eagles,&bull; 1994 second round pick (#37-Bruce Walker),&bull; 1994 second round pick (#40-David Palmer)<br/>&bull; 1994 fourth round pick (#118-Mitch Davis),trade with Falcons (date approximate)
1994-04-23,Falcons,&bull; 1994 second round pick (#40-David Palmer)<br/>&bull; 1994 fourth round pick (#118-Mitch Davis),&bull; 1994 second round pick (#37-Bruce Walker),trade with Eagles (date approximate)
1994-04-23,Dolphins,,&bull; Jeff Uhlenhake,lost free agent (to Saints)
1994-04-23,Saints,&bull; Jeff Uhlenhake,,signed free agent (from Dolphins) to a 2-year contract
1994-04-24,49ers,&bull; Cory Fleming,,third round pick (#87 overall)
1994-04-24,49ers,&bull; Tyrone Drakeford,,second round pick (#62 overall)
1994-04-24,49ers,&bull; William Floyd,,first round pick (#28 overall)
1994-04-24,49ers,Doug Brien,,third round pick (#85 overall)
1994-04-24,Bears,&bull; Jim Flanigan (b),,third round pick (#74 overall)
1994-04-24,Bears,&bull; Marcus Spears (D.),,second round pick (#39 overall)
1994-04-24,Bears,John Thierry,,first round pick (#11 overall)
1994-04-24,Bengals,&bull; Dan Wilkinson,,first round pick (#1 overall)
1994-04-24,Bengals,&bull; Darnay Scott,,second round pick (#30 overall)
1994-04-24,Bengals,&bull; Jeff Cothran,,third round pick (#66 overall)
1994-04-24,Bengals,&bull; Steve Shine,,third round pick (#86 overall)
1994-04-24,Bills,&bull; Bucky Brooks,,second round pick (#48 overall)
1994-04-24,Bills,&bull; Corey Louchiey,,third round pick (#98 overall)
1994-04-24,Bills,&bull; Jeff Burris,,first round pick (#27 overall)
1994-04-24,Bills,&bull; Lonnie Johnson (c),,second round pick (#61 overall)
1994-04-24,Bills,&bull; Marlo Perry,,third round pick (#81 overall)
1994-04-24,Bills,&bull; Sam Rogers,,second round pick (#64 overall)
1994-04-24,Broncos,&bull; Allen Aldridge (b),,second round pick (#51 overall)
1994-04-24,Browns,&bull; Antonio Langham,,first round pick (#9 overall)
1994-04-24,Browns,&bull; Derrick Alexander (a),,first round pick (#29 overall)
1994-04-24,Browns,&bull; Romeo Bandison,,third round pick (#75 overall)
1994-04-24,Buccaneers,&bull; Harold Bishop,,third round pick (#69 overall)
1994-04-24,Buccaneers,Errict Rhett,,second round pick (#34 overall)
1994-04-24,Buccaneers,Trent Dilfer,,first round pick (#6 overall)
1994-04-24,Cardinals,&bull; Chuck Levy,,second round pick (#38 overall)
1994-04-24,Cardinals,&bull; Jamir Miller,,first round pick (#10 overall)
1994-04-24,Cardinals,&bull; Rich Braham,,third round pick (#76 overall)
1994-04-24,Chargers,&bull; Andre Coleman,,third round pick (#70 overall)
1994-04-24,Chargers,&bull; Isaac Davis,,second round pick (#43 overall)
1994-04-24,Chargers,&bull; Vaughn Parker,,second round pick (#63 overall)
1994-04-24,Chargers,&bull; Willie Clark,,third round pick (#82 overall)
1994-04-24,Chiefs,&bull; Bracy Walker,,fourth round pick (#127 overall)
1994-04-24,Chiefs,&bull; Chris Penn,,third round pick (#96 overall)
1994-04-24,Chiefs,&bull; Donnell Bennett,,second round pick (#58 overall)
1994-04-24,Chiefs,&bull; Greg Hill (b),,first round pick (#25 overall)
1994-04-24,Chiefs,&bull; Lake Dawson,,third round pick (#92 overall)
1994-04-24,Colts,&bull; Jason Mathews,,third round pick (#67 overall)
1994-04-24,Colts,&bull; Marshall Faulk,,first round pick (#2 overall)
1994-04-24,Colts,Eric Mahlum,,second round pick (#32 overall)
1994-04-24,Cowboys,&bull; George Hegamin,,third round pick (#102 overall)
1994-04-24,Cowboys,&bull; Larry Allen (b),,second round pick (#46 overall)
1994-04-24,Cowboys,Shante Carver,,first round pick (#23 overall)
1994-04-24,Dolphins,&bull; Aubrey Beavers,,second round pick (#54 overall)
1994-04-24,Dolphins,&bull; Brant Boyer,,sixth round pick (#177 overall)
1994-04-24,Eagles,&bull; Bernard Williams,,first round pick (#14 overall)
1994-04-24,Eagles,&bull; Bruce Walker,,second round pick (#37 overall)
1994-04-24,Eagles,&bull; Charlie Garner,,second round pick (#42 overall)
1994-04-24,Eagles,&bull; Eric Zomalt,,third round pick (#103 overall)
1994-04-24,Eagles,&bull; Joe Panos,,third round pick (#77 overall)
1994-04-24,Falcons,&bull; Anthony Phillips (b),,third round pick (#72 overall)
1994-04-24,Giants,&bull; Gary Downs,,third round pick (#95 overall)
1994-04-24,Giants,&bull; Jason Sehorn,,second round pick (#59 overall)
1994-04-24,Giants,&bull; Thomas Lewis,,first round pick (#24 overall)
1994-04-24,Giants,&bull; Thomas Randolph,,second round pick (#47 overall)
1994-04-24,Jets,&bull; 1994 first round pick (#12-Aaron Glenn),&bull; 1994 first round pick (#13-Joe Johnson)<br/>&bull; 1994 fifth round pick (#143-Craig Novitsky),trade with Saints
1994-04-24,Jets,&bull; Aaron Glenn,,first round pick (#12 overall)
1994-04-24,Jets,&bull; Lou Benfatti,,third round pick (#94 overall)
1994-04-24,Jets,&bull; Ryan Yarborough,,second round pick (#41 overall)
1994-04-24,Lions,&bull; Johnnie Morton,,first round pick (#21 overall)
1994-04-24,Lions,&bull; Shane Bonham,,third round pick (#93 overall)
1994-04-24,Lions,&bull; Van Malone,,second round pick (#57 overall)
1994-04-24,Oilers,&bull; Henry Ford (b),,first round pick (#26 overall)
1994-04-24,Oilers,&bull; Jeremy Nunley,,second round pick (#60 overall)
1994-04-24,Oilers,&bull; Malcolm Seabron,,third round pick (#101 overall)
1994-04-24,Patriots,&bull; Ervin Collier,,third round pick (#78 overall)
1994-04-24,Patriots,&bull; Kevin Lee,,second round pick (#35 overall)
1994-04-24,Patriots,Joe Burch,,third round pick (#90 overall)
1994-04-24,Patriots,Willie McGinest,,first round pick (#4 overall)
1994-04-24,Raiders,&bull; 1994 second round pick (#52-James Folston),&bull; 1994 second round pick (#55-Fernando Smith)<br/>&bull; 1994 fourth round pick (#125-Mike Wells),trade with Vikings
1994-04-24,Raiders,&bull; James Folston (b),,second round pick (#52 overall)
1994-04-24,Raiders,&bull; Rob Frederickson,,first round pick (#22 overall)
1994-04-24,Rams,&bull; Brad Ottis,,second round pick (#56 overall)
1994-04-24,Rams,&bull; Keith Lyle,,third round pick (#71 overall)
1994-04-24,Rams,&bull; Toby Wright,,second round pick (#49 overall)
1994-04-24,Rams,&bull; Wayne Gandy,,first round pick (#15 overall)
1994-04-24,Rams,Isaac Bruce,,second round pick (#33 overall)
1994-04-24,Redskins,&bull; Heath Shuler,,first round pick (#3 overall)
1994-04-24,Redskins,&bull; Joe Patton,,third round pick (#97 overall)
1994-04-24,Redskins,&bull; Tre Johnson / Tre' Johnson,,second round pick (#31 overall)
1994-04-24,Redskins,&bull; Tydus Winans,,third round pick (#68 overall)
1994-04-24,Saints,,&bull; Steve Walsh,waived
1994-04-24,Saints,&bull; 1994 first round pick (#13-Joe Johnson)<br/>&bull; 1994 fifth round pick (#143-Craig Novitsky),&bull; 1994 first round pick (#12-Aaron Glenn),trade with Jets
1994-04-24,Saints,&bull; Joe Johnson (c),,first round pick (#13 overall)
1994-04-24,Saints,&bull; Mario Bates,,second round pick (#44 overall)
1994-04-24,Saints,Winfred Tubbs,,third round pick (#79 overall)
1994-04-24,Seahawks,&bull; Kevin Mawae,,second round pick (#36 overall)
1994-04-24,Seahawks,&bull; Lamar Smith,,third round pick (#73 overall)
1994-04-24,Seahawks,&bull; Sam Adams (c),,first round pick (#8 overall)
1994-04-24,Steelers,&bull; Brentson Buckner,,second round pick (#50 overall)
1994-04-24,Steelers,&bull; Byron Morris / Bam Morris,,third round pick (#91 overall)
1994-04-24,Steelers,&bull; Charles Johnson (c),,first round pick (#17 overall)
1994-04-24,Steelers,&bull; John Williams (L.),,signed
1994-04-24,Steelers,Jason Gildon,,third round pick (#88 overall)
1994-04-24,Vikings,&bull; 1994 second round pick (#55-Fernando Smith)<br/>&bull; 1994 fourth round pick (#125-Mike Wells),&bull; 1994 second round pick (#52-James Folston),trade with Raiders
1994-04-24,Vikings,&bull; Dewayne Washington,,first round pick (#18 overall)
1994-04-24,Vikings,&bull; Fernando Smith,,second round pick (#55 overall)
1994-04-24,Vikings,Todd Steussie,,first round pick (#19 overall)
1994-04-24,49ers,&bull; 1994 third round pick (#100-Ernest Jones)<br/>&bull; 1994 sixth round pick (#190-Paul Duckworth),&bull; Bill Romanowski,trade with Eagles
1994-04-24,Dolphins,&bull; 1994 first round pick (#20-Tim Bowens)<br/>&bull; 1994 third round pick (#89-Eric England),&bull; 1994 first round pick (#16-Aaron Taylor (a)),trade with Packers
1994-04-24,Eagles,&bull; Bill Romanowski,&bull; 1994 third round pick (#100-Ernest Jones)<br/>&bull; 1994 sixth round pick (#190-Paul Duckworth),trade with 49ers
1994-04-24,Packers,&bull; 1994 first round pick (#16-Aaron Taylor (a)),&bull; 1994 first round pick (#20-Tim Bowens)<br/>&bull; 1994 third round pick (#89-Eric England),trade with Dolphins
1994-04-24,49ers,&bull; 1994 second round pick (#53-Kevin Mitchell (a)),&bull; 1994 third round pick (#84-LeShon Johnson)<br/>&bull; 1994 fifth round pick (#149-Dorsey Levens)<br/>&bull; two 1994 sixth round picks (#175-Ruffin Hamilton) (#190-Paul Duckworth),trade with Packers
1994-04-24,Broncos,&bull; Mike Pritchard<br/>&bull; 1995 seventh round pick (#222-Byron Chamberlain),&bull; 1994 third round pick (#99-Alai Kalaniuvalu / Alai Kalanuvalu)<br/>&bull; 1995 first round pick (#11-Derrick Alexander (b)),trade with Falcons
1994-04-24,Colts,&bull; 1994 first round pick (#5-Trev Alberts),&bull; 1994 first round pick (#7-Bryant Young)<br/>&bull; 1994 third round pick (#83-James Bostic),trade with Rams
1994-04-24,Falcons,&bull; 1994 third round pick (#99-Alai Kalaniuvalu / Alai Kalanuvalu)<br/>&bull; 1995 first round pick (#11-Derrick Alexander (b)),&bull; Mike Pritchard<br/>&bull; 1995 seventh round pick (#222-Byron Chamberlain),trade with Broncos
1994-04-24,Packers,&bull; 1994 third round pick (#84-LeShon Johnson)<br/>&bull; 1994 fifth round pick (#149-Dorsey Levens)<br/>&bull; two 1994 sixth round picks (#175-Ruffin Hamilton) (#190-Paul Duckworth),&bull; 1994 second round pick (#53-Kevin Mitchell (a)),trade with 49ers
1994-04-24,Rams,&bull; 1994 first round pick (#7-Bryant Young)<br/>&bull; 1994 third round pick (#83-James Bostic),&bull; 1994 first round pick (#5-Trev Alberts),trade with Colts
1994-04-24,Cardinals,&bull; 1994 third round pick (#89-Eric England)<br/>&bull; two 1994 fourth round picks (#115-Terry Irving (b)) (#121-John Burke),&bull; 1994 second round pick (#65-Tim Ruddy),trade with Dolphins
1994-04-24,Dolphins,&bull; 1994 second round pick (#65-Tim Ruddy),&bull; 1994 third round pick (#89-Eric England)<br/>&bull; two 1994 fourth round picks (#115-Terry Irving (b)) (#121-John Burke),trade with Cardinals
1994-04-24,Dolphins,&bull; 1994 second round pick (#65-Tim Ruddy),&bull; 1994 third round pick (#94-Lou Benfatti)<br/>&bull; 1994 fifth round pick (#152-Horace Morris),trade with Cardinals
1994-04-24,49ers,&bull; 1994 first round pick (#7-Bryant Young),&bull; 1994 first round pick (#15-Wayne Gandy)<br/>&bull; 1994 second round pick (#56-Brad Ottis)<br/>&bull; 1994 third round pick (#100-Ernest Jones),trade with Rams (date approximate)
1994-04-24,49ers,&bull; Kevin Mitchell (a),,second round pick (#53 overall)
1994-04-24,Colts,&bull; Trev Alberts,,first round pick (#5 overall)
1994-04-24,Dolphins,&bull; Tim Bowens,,first round pick (#20 overall)
1994-04-24,Dolphins,Tim Ruddy,,second round pick (#65 overall)
1994-04-24,Falcons,&bull; Chris Doleman<br/>&bull; 1994 second round pick (#45-Bert Emanuel),&bull; 1994 second round pick (#40-David Palmer)<br/>&bull; 1995 first round pick (#11-Derrick Alexander (b)),trade with Vikings
1994-04-24,Falcons,Alai Kalaniuvalu / Alai Kalanuvalu,,third round pick (#99 overall)
1994-04-24,Packers,&bull; Aaron Taylor (a),,first round pick (#16 overall)
1994-04-24,Rams,&bull; 1994 first round pick (#15-Wayne Gandy)<br/>&bull; 1994 second round pick (#56-Brad Ottis)<br/>&bull; 1994 third round pick (#100-Ernest Jones),&bull; 1994 first round pick (#7-Bryant Young),trade with 49ers (date approximate)
1994-04-24,Vikings,&bull; 1994 second round pick (#40-David Palmer)<br/>&bull; 1995 first round pick (#11-Derrick Alexander (b)),&bull; Chris Doleman<br/>&bull; 1994 second round pick (#45-Bert Emanuel),trade with Falcons
1994-04-24,49ers,&bull; Bryant Young,,first round pick (#7 overall)
1994-04-24,Falcons,&bull; Bert Emanuel,,second round pick (#45 overall)
1994-04-24,Packers,&bull; LeShon Johnson,,third round pick (#84 overall)
1994-04-24,Rams,&bull; James Bostic,,third round pick (#83 overall)
1994-04-24,Vikings,&bull; David Palmer,,second round pick (#40 overall)
1994-04-24,Cardinals,&bull; Eric England,,third round pick (#89 overall)
1994-04-24,Falcons,&bull; Chris Doleman,,re-signed to a $3M contract (date approximate)
1994-04-24,Rams,&bull; Ernest Jones,,third round pick (#100 overall)
1994-04-25,49ers,&bull; Anthony Peterson,,fifth round pick (#153 overall)
1994-04-25,49ers,&bull; Lee Woodall,,sixth round pick (#182 overall)
1994-04-25,Bears,&bull; Dennis Collier,,seventh round pick (#205 overall)
1994-04-25,Bears,&bull; Lloyd Hill,,sixth round pick (#170 overall)
1994-04-25,Bears,&bull; Raymont Harris,,fourth round pick (#114 overall)
1994-04-25,Bengals,&bull; Corey Sawyer,,fourth round pick (#104 overall)
1994-04-25,Bengals,&bull; Jerry Reynolds,,sixth round pick (#184 overall)
1994-04-25,Bengals,&bull; Kimo von Oelhoffen,,sixth round pick (#162 overall)
1994-04-25,Bengals,&bull; Ramondo Stallings,,seventh round pick (#195 overall)
1994-04-25,Bengals,&bull; Trent Pollard,,fifth round pick (#132 overall)
1994-04-25,Bills,&bull; A.J. Ofodile,,fifth round pick (#158 overall)
1994-04-25,Bills,&bull; Anthony Abrams,,sixth round pick (#188 overall)
1994-04-25,Bills,&bull; Filmel Johnson,,seventh round pick (#221 overall)
1994-04-25,Bills,&bull; Kevin Knox,,sixth round pick (#192 overall)
1994-04-25,Bills,&bull; Sean Crocker,,fourth round pick (#130 overall)
1994-04-25,Broncos,&bull; Butler By'not'e,,seventh round pick (#212 overall)
1994-04-25,Broncos,&bull; Keith Burns,,seventh round pick (#210 overall)
